!Username	ElementId	Amount	Difference
Colligo	4536521	100	NULL
Colligo	4536998	100	NULL
Colligo	4540386	300	NULL
Colligo	4616581	100	NULL
Colligo	4640844	200	NULL
Colligo	4656783	400	NULL
Colligo	6000311	300	NULL
Colligo	6055309	300	NULL
Colligo	6058093	50	NULL
Colligo	6071229	400	NULL
Colligo	6075617	100	NULL
Colligo	6081975	200	NULL
CopMike	4114026	300	NULL
CopMike	4125253	300	NULL
CopMike	4211055	800	NULL
CopMike	4211288	200	NULL
CopMike	4211398	200	NULL
CopMike	4211413	600	NULL
CopMike	4211414	350	NULL
CopMike	4249891	200	NULL
CopMike	4255413	100	NULL
CopMike	4264569	100	NULL
CopMike	4518653	50	NULL
CopMike	4521947	250	NULL
CopMike	4521948	100	NULL
CopMike	4529685	200	NULL
CopMike	4536998	50	NULL
CopMike	4540386	200	NULL
CopMike	4570877	200	NULL
CopMike	4616578	200	NULL
CopMike	4616581	200	NULL
CopMike	4616845	100	NULL
CopMike	4623429	200	NULL
CopMike	4640844	200	NULL
CopMike	6003331	50	NULL
CopMike	6009656	100	NULL
CopMike	6021997	200	NULL
CopMike	6040310	50	NULL
CopMike	6047501	200	NULL
CopMike	6055309	50	NULL
CopMike	6058221	200	NULL
CopMike	6058257	100	NULL
CopMike	6062574	100	NULL
CopMike	6071229	200	NULL
CopMike	6075208	200	NULL
CopMike	6075617	250	NULL
CopMike	6078605	200	NULL
CopMike	6081975	100	NULL
CopMike	6103001	100	NULL
Cyberchick	242328	100	NULL
Cyberchick	4114026	300	NULL
Cyberchick	4129872	100	NULL
Cyberchick	4211063	200	NULL
Cyberchick	4211288	200	NULL
Cyberchick	4211388	200	NULL
Cyberchick	4211398	200	NULL
Cyberchick	4211414	200	NULL
Cyberchick	4247145	50	NULL
Cyberchick	4249891	100	NULL
Cyberchick	4255413	100	NULL
Cyberchick	4264569	50	NULL
Cyberchick	4269651	8	NULL
Cyberchick	4515374	150	NULL
Cyberchick	4518653	50	NULL
Cyberchick	4528604	300	NULL
Cyberchick	4536521	50	NULL
Cyberchick	4536998	50	NULL
Cyberchick	4540386	200	NULL
Cyberchick	4570877	200	NULL
Cyberchick	4613823	200	NULL
Cyberchick	4614158	200	NULL
Cyberchick	4616578	200	NULL
Cyberchick	4656783	100	NULL
Cyberchick	6000311	100	NULL
Cyberchick	6006524	50	NULL
Cyberchick	6021997	200	NULL
Cyberchick	6024692	100	NULL
Cyberchick	6036424	50	NULL
Cyberchick	6046943	200	NULL
Cyberchick	6055309	50	NULL
Cyberchick	6058093	50	NULL
Cyberchick	6058221	200	NULL
Cyberchick	606428	100	NULL
Cyberchick	6071229	200	NULL
Cyberchick	6074312	100	NULL
Cyberchick	6075208	200	NULL
Cyberchick	6075617	100	NULL
Cyberchick	6081975	100	NULL
Cyberchick	6103001	200	NULL
dalle	242328	250	NULL
dalle	4114026	300	NULL
dalle	4125253	300	NULL
dalle	4210997	50	NULL
dalle	4211055	400	NULL
dalle	4211063	250	NULL
dalle	4211088	300	NULL
dalle	4211288	200	NULL
dalle	4211388	300	NULL
dalle	4211398	400	NULL
dalle	4211413	200	NULL
dalle	4211414	200	NULL
dalle	4247145	50	NULL
dalle	4264569	50	NULL
dalle	4521947	100	NULL
dalle	4528604	200	NULL
dalle	4570877	200	NULL
dalle	4613823	250	NULL
dalle	4614158	200	NULL
dalle	4616845	100	NULL
dalle	6000311	100	NULL
dalle	6002843	50	NULL
dalle	6002847	50	NULL
dalle	6006524	50	NULL
dalle	6009656	100	NULL
dalle	6021997	200	NULL
dalle	6040310	50	NULL
dalle	6055309	50	NULL
dalle	6055509	200	NULL
dalle	6058093	50	NULL
dalle	6058221	250	NULL
dalle	6058257	100	NULL
dalle	6062574	100	NULL
dalle	6075208	200	NULL
dalle	6075617	100	NULL
dalle	6078605	200	NULL
dalle	6084571	100	NULL
dalle	6103001	200	NULL
Dark_link	300801	50	NULL
Dark_link	306901	200	NULL
Dark_link	4114026	300	NULL
Dark_link	4210997	50	NULL
Dark_link	4211063	200	NULL
Dark_link	4211065	50	NULL
Dark_link	4211088	200	NULL
Dark_link	4249891	350	NULL
Dark_link	4255413	100	NULL
Dark_link	4264569	400	NULL
Dark_link	4515374	100	NULL
Dark_link	4521947	400	NULL
Dark_link	4521948	100	NULL
Dark_link	4536521	50	NULL
Dark_link	4536998	50	NULL
Dark_link	4558952	100	NULL
Dark_link	4570877	200	NULL
Dark_link	4614158	200	NULL
Dark_link	4616578	200	NULL
Dark_link	4616581	300	NULL
Dark_link	4656783	300	NULL
Dark_link	6003331	100	NULL
Dark_link	6009656	100	NULL
Dark_link	6021997	200	NULL
Dark_link	6055309	200	NULL
Dark_link	6058093	50	NULL
Dark_link	6074312	50	NULL
Dark_link	6075617	200	NULL
Dark_link	6084571	50	NULL
Dark_link	6103001	300	NULL
Eigenbröter	4521947	300	NULL
Eigenbröter	4521948	250	NULL
Eigenbröter	4616581	350	NULL
Eigenbröter	4616845	100	NULL
Eigenbröter	4620068	50	NULL
Eigenbröter	4656783	100	NULL
Eigenbröter	6009656	100	NULL
Eigenbröter	6014648	200	NULL
Eigenbröter	6020157	50	NULL
Eigenbröter	6023209	100	NULL
Eigenbröter	6036424	400	NULL
Eigenbröter	6040310	50	NULL
Eigenbröter	6044702	300	NULL
Eigenbröter	6047501	200	NULL
Eigenbröter	6047885	300	NULL
Eigenbröter	6055309	50	NULL
Eigenbröter	6055509	200	NULL
Eigenbröter	6073231	100	NULL
Eigenbröter	6075617	200	NULL
Eigenbröter	6078605	200	NULL
Eigenbröter	6103001	100	NULL
EpsilonEta	300801	100	NULL
EpsilonEta	306901	200	NULL
EpsilonEta	4114026	300	NULL
EpsilonEta	4125253	300	NULL
